word;weight
爱;1.0
爱不忍释;1.0
爱不释手;1.0
爱宠;1.0
爱戴;1.0
爱抚;1.0
爱好;1.0
爱护;1.0
爱怜;1.0
爱恋;1.0
爱慕;1.0
爱上;1.0
爱屋及乌;1.0
爱惜;1.0
昂扬;1.0
拜服;1.0
拜贺;1.0
拜谒;1.0
褒;1.0
褒奖;1.0
褒扬;1.0
表扬;1.0
表彰;1.0
并重;1.0
不愧;1.0
采纳;1.0
参拜;1.0
参谒;1.0
畅快;1.0
朝思暮想;1.0
撑台面;1.0
撑腰;1.0
称道;1.0
称快;1.0
称赏;1.0
称颂;1.0
称叹;1.0
称羡;1.0
称谢;1.0
称心;1.0
称心如意;1.0
称心如愿;1.0
称许;1.0
称誉;1.0
称愿;1.0
称赞;1.0
承蒙;1.0
承情;1.0
承望;1.0
承应;1.0
骋怀;1.0
痴迷;1.0
痴情;1.0
痴心不改;1.0
痴心妄想;1.0
驰念;1.0
驰思;1.0
崇拜;1.0
崇敬;1.0
崇尚;1.0
崇仰;1.0
宠;1.0
宠爱;1.0
宠幸;-1.0
酬谢;1.0
踌躇满志;1.0
垂爱;1.0
垂念;1.0
垂青;1.0
垂涎;1.0
垂涎三尺;1.0
垂涎欲滴;1.0
春风得意;1.0
春风满面;1.0
醋意大发;1.0
答礼;1.0
答谢;1.0
大快人心;1.0
大喜过望;1.0
当之无愧;1.0
道贺;1.0
道谢;1.0
点头称是;1.0
电贺;1.0
顶礼;1.0
顶礼膜拜;1.0
睹物思人;1.0
堕入爱河;1.0
堕入情网;1.0
额手称庆;1.0
放在心上;1.0
费心;1.0
奉若神明;1.0
甘心情愿;1.0
甘愿;1.0
感恩;1.0
感恩戴德;1.0
感激;1.0
感激不尽;1.0
感激涕零;1.0
感同身受;1.0
感谢;1.0
感兴趣;1.0
高看;1.0
高山仰止;1.0
高兴;1.0
歌颂;1.0
给脸;1.0
给面子;1.0
恭而敬之;1.0
恭贺;1.0
恭维;1.0
恭喜;1.0
恭祝;1.0
供奉;1.0
顾全;1.0
顾惜;1.0
挂牵;1.0
关爱;1.0
关怀;1.0
关怀备至;1.0
关切;1.0
关心;1.0
关照;1.0
关注;1.0
贯注;1.0
过奖;1.0
过问;1.0
过誉;1.0
哈;1.0
酣畅;1.0
豪情满怀;1.0
好奇;1.0
好情;1.0
喝彩;1.0
合掌;1.0
厚望;1.0
怀恋;1.0
怀念;1.0
怀想;1.0
欢;1.0
欢畅;1.0
欢欢喜喜;1.0
欢快;1.0
欢乐;1.0
欢闹;1.0
欢声雷动;1.0
欢腾;1.0
欢天喜地;1.0
欢慰;1.0
欢喜;1.0
欢欣;1.0
欢欣鼓舞;1.0
欢迎;1.0
欢愉;1.0
欢娱;1.0
欢悦;1.0
欢忭;1.0
还礼;1.0
豁朗;1.0
热心;1.0
冀求;1.0
冀望;-1.0
记挂;1.0
嘉奖;1.0
嘉许;1.0
夹道欢迎;1.0
兼顾;1.0
见爱;1.0
见义勇为;1.0
奖;1.0
奖励;1.0
奖赏;1.0
奖掖;1.0
交口称誉;1.0
交口称赞;1.0
叫好;1.0
叫绝;1.0
皆大欢喜;1.0
尽孝;1.0
尽忠;1.0
惊喜;1.0
景仰;1.0
敬爱;1.0
敬奉;1.0
敬服;1.0
敬贺;1.0
敬礼;1.0
敬慕;1.0
敬佩;1.0
敬若神明;1.0
敬畏;1.0
敬仰;1.0
敬重;1.0
敬祝;1.0
聚焦;1.0
聚精会神;1.0
眷爱;1.0
眷恋;1.0
眷念;1.0
开绿灯;1.0
开心;1.0
看得起;1.0
看得上;1.0
看得上眼;1.0
看上;1.0
看上眼;1.0
看中;1.0
看重;1.0
磕头;1.0
渴慕;1.0
渴念;1.0
渴盼;1.0
渴求;1.0
渴望;1.0
渴想;1.0
酷爱;1.0
酷好;1.0
夸;1.0
夸奖;1.0
夸赞;1.0
快活;-1.0
快乐;1.0
快慰;1.0
快意;1.0
宽畅;1.0
狂喜;1.0
狂想;1.0
乐;1.0
乐不可支;1.0
乐颠颠;1.0
乐呵呵;1.0
乐乐呵呵;1.0
乐陶陶;1.0
乐意;1.0
乐悠悠;1.0
乐于;1.0
乐滋滋;1.0
理直气壮;1.0
礼赞;1.0
怜爱;1.0
恋爱;1.0
恋恋不舍;1.0
领情;1.0
留个心眼儿;1.0
留神;1.0
留意;1.0
论功行赏;1.0
买账;1.0
满怀豪情;1.0
满怀激情;1.0
满面春风;1.0
满心欢喜;1.0
满意;1.0
满足;1.0
眉飞色舞;1.0
美言;1.0
美滋滋;1.0
梦魂萦绕;1.0
梦寐以求;1.0
梦想;1.0
迷恋;1.0
迷上;1.0
面有喜色;1.0
鸣谢;1.0
谬奖;1.0
膜拜;1.0
慕名;1.0
爱吃;1.0
拍案叫绝;1.0
拍手称快;1.0
拍手叫好;1.0
盼;1.0
盼念;1.0
盼望;1.0
佩服;1.0
捧场;1.0
偏爱;1.0
偏宠;1.0
偏好;1.0
偏重;1.0
飘飘然;1.0
飘飘欲仙;1.0
普天同庆;1.0
期待;1.0
期盼;1.0
期望;1.0
