word	label
搥胸顿足	uw
哀	uw
哀哀切切	uw
哀愁	uw
哀怜	uw
哀悯	uw
哀戚	uw
哀凄	uw
哀切	uw
哀伤	uw
哀痛	uw
哀痛欲绝	uw
哀怨	uw
哀恸	uw
哀矜	uw
傲视	uw
懊	uw
懊恨	uw
懊悔	uw
懊恼	uw
懊丧	uw
百无聊赖	uw
败兴	uw
板脸	uw
板面孔	uw
板起脸	uw
板着脸	uw
板着面孔	uw
半信半疑	uw
抱不平	uw
抱憾	uw
抱憾终身	uw
抱恨	uw
抱恨终生	uw
抱恨终天	uw
抱疚	uw
抱愧	uw
抱歉	uw
抱怨	uw
暴跳	uw
暴跳如雷	uw
杯弓蛇影	uw
悲	uw
悲哀	uw
悲愁	uw
悲观失望	uw
悲悯	uw
悲戚	uw
悲凄	uw
悲切	uw
悲切切	uw
悲伤	uw
悲酸	uw
悲天悯人	uw
悲痛	uw
悲痛欲绝	uw
悲怆	uw
悲恸	uw
悲恻	uw
绷脸	uw
绷着脸	uw
鼻酸	uw
鄙薄	uw
鄙弃	uw
鄙视	uw
鄙夷	uw
鞭挞	uw
贬斥	uw
变脸	uw
变色	uw
变心	uw
憋	uw
憋得慌	uw
憋闷	uw
憋气	uw
憋屈	uw
憋着一肚子气	uw
勃然大怒	uw
不待见	uw
不甘	uw
不甘心	uw
不顾	uw
不过意	uw
不寒而栗	uw
不好过	uw
不好意思	uw
不快	uw
不落忍	uw
不满	uw
不满意	uw
不满足	uw
不念旧恶	uw
不容	uw
不是滋味	uw
不爽	uw
不死心	uw
不同意	uw
不闻不问	uw
不屑	uw
不屑一顾	uw
不屑于	uw
不以为然	uw
不愿	uw
不愿意	uw
不悦	uw
不赞成	uw
不赞同	uw
不忠	uw
不忠诚	uw
怖	uw
猜忌	uw
猜嫌	uw
猜疑	uw
惭惶	uw
惭愧	uw
仓皇失措	uw
藏奸	uw
操心	uw
诧	uw
诧异	uw
诧愕	uw
嘲骂	uw
嘲谑	uw
沉吟	uw
沉郁	uw
沉重	uw
诚惶诚恐	uw
吃不准	uw
吃错药	uw
吃后悔药	uw
痴愣	uw
持异议	uw
迟疑	uw
迟疑不决	uw
耻骂	uw
斥	uw
斥骂	uw
斥责	uw
踌躇	uw
踌躇不决	uw
踌躇不前	uw
愁	uw
愁惨	uw
愁肠百结	uw
愁眉不展	uw
愁眉紧锁	uw
愁眉苦脸	uw
愁闷	uw
愁容满面	uw
仇恨	uw
仇视	uw
臭骂	uw
出气	uw
吹胡子瞪眼	uw
捶胸顿足	uw
垂头丧气	uw
戳脊梁骨	uw
刺打	uw
蹿火	uw
错愕	uw
打骂	uw
打入冷宫	uw
打入十八层地狱	uw
打问号	uw
打怵	uw
打憷	uw
大吃一惊	uw
大跌眼镜	uw
大动肝火	uw
大发雷霆	uw
大惊失色	uw
大骂	uw
大失所望	uw
呆若木鸡	uw
呆怔	uw
呆滞	uw
呆住	uw
呆愣愣	uw
担惊受怕	uw
担心	uw
担忧	uw
胆颤心惊	uw
胆寒	uw
胆战心惊	uw
惮	uw
当紧	uw
当头棒喝	uw
得饶人处且饶人	uw
等闲视之	uw
瞪眼	uw
低落	uw
敌视	uw
掉魂	uw
掉以轻心	uw
跌眼镜	uw
动肝火	uw
动火	uw
动怒	uw
动气	uw
动摇	uw
恫	uw
堵得慌	uw
堵心	uw
断肠	uw
断魂	uw
顿生疑窦	uw
顿足捶胸	uw
多虑	uw
多有微词	uw
恶骂	uw
扼腕	uw
发愁	uw
发狠	uw
发火	uw
发急	uw
发牢骚	uw
发毛	uw
发怒	uw
发脾气	uw
发怔	uw
发指	uw
发作	uw
发怵	uw
发愣	uw
发憷	uw
发飙	uw
翻然悔悟	uw
烦愁	uw
烦闷	uw
烦恼	uw
烦腻	uw
烦扰	uw
烦神	uw
烦厌	uw
烦忧	uw
烦躁	uw
反唇相讥	uw
反感	uw
犯愁	uw
犯急	uw
犯难	uw
犯疑心病	uw
犯怵	uw
犯憷	uw
非常悲哀	uw
非难	uw
非议	uw
费精神	uw
费神	uw
忿忿	uw
忿忿不平	uw
忿忿然	uw
忿恨	uw
忿怒	uw
忿恚	uw
忿懑	uw
愤愤	uw
愤愤不平	uw
愤愤然	uw
愤恨	uw
愤怒	uw
愤世嫉俗	uw
愤懑	uw
讽	uw
讽刺	uw
负疚	uw
负气	uw
肝肠寸断	uw
感伤	uw
骨鲠在喉	uw
顾忌	uw
顾虑	uw
顾虑重重	uw
寡欢	uw
挂火	uw
挂虑	uw
怪	uw
怪罪	uw
光火	uw
过不去	uw
过分操心	uw
过虑	uw
过意不去	uw
害怕	uw
害臊	uw
骇	uw
骇怪	uw
骇惧	uw
骇怕	uw
骇然失色	uw
骇异	uw
骇愕	uw
含悲	uw
含愤	uw
含恨	uw
含怒	uw
含沙射影	uw
含怨	uw
涵容	uw
寒心	uw
憾	uw
悍然不顾	uw
汗颜	uw
毫不在乎	uw
呵斥	uw
呵责	uw
呵叱	uw
喝斥	uw
喝叱	uw
恨	uw
恨入骨髓	uw
恨铁不成钢	uw
恨之入骨	uw
红脸	uw
红眼	uw
猴儿急	uw
后顾之忧	uw
后悔	uw
后悔莫及	uw
后怕	uw
忽略	uw
忽视	uw
狐疑不决	uw
